child,parent,colour,sex,dob
CRUDEN BAY CHEETAH,FT CH PECHASI MAX,?,Female,01 January 0001
FT CH RURO SWAGMAN,FT CH PECHASI MAX,?,Male,01 January 0001
CRUDEN BOY ISHBELL,CRUDEN BAY CHEETAH,?,Female,01 January 0001
FT CH CORNBURY REGENT,FT CH RURO SWAGMAN,?,Male,01 January 0001
MAGGY OF BEEHOLME,BEEHOLME RISSI,BLACK,Female,01 June 1987
FT CH TASCO DANCING BRAVE OF WILLOWYCK,BEEHOLME RISSI,BLACK,Male,11 May 1986
FT CH PALGRAVE QUIN,MAGGY OF BEEHOLME,BLACK,Male,08 March 1982
HARETOR CRAIGFELIN HOLLIE,MAGGY OF BEEHOLME,BLACK,Female,12 December 1984
HARETOR FINCH OF CRAIGFELIN,HARETOR CRAIGFELIN HOLLIE,BLACK,Female,20 February 1982
FT CH HARETOR ABEL OF BELLEVER,HARETOR CRAIGFELIN HOLLIE,BLACK,Male,01 July 1980
HOODHILL TWEED OF HARETOR,HARETOR FINCH OF CRAIGFELIN,?,Female,02 July 1977
FT CH SWIFT OF SWINBROOK,HARETOR FINCH OF CRAIGFELIN,BLACK,Male,08 April 1974
FT CH STRATFIELDSAYE DIPPER,FT CH HARETOR ABEL OF BELLEVER,BLACK,Male,13 May 1974
SLADBROOK TWIGGY OF HARETOR,FT CH HARETOR ABEL OF BELLEVER,?,Female,01 March 1977
SWINBROOK MOSQUITO,SLADBROOK TWIGGY OF HARETOR,BLACK,Male,19 April 1973
ODAY AURORA,SLADBROOK TWIGGY OF HARETOR,?,Female,01 January 0001
FT CH PALGRAVE EDWARD,ODAY AURORA,?,Male,01 January 0001
BEINNMHOR TERM,ODAY AURORA,?,Female,01 January 0001
FT CH SHINSHAIL APACHE,FT CH TASCO DANCING BRAVE OF WILLOWYCK,BLACK,Male,12 May 1978
SWINBROOK STONEFLY,FT CH TASCO DANCING BRAVE OF WILLOWYCK,BLACK,Female,19 May 1979
FT CH SWINBROOK BUMBLE,SWINBROOK STONEFLY,BLACK,Female,19 April 1973
GALLOWMILL BRIG,SWINBROOK STONEFLY,?,Male,01 January 0001
FT CH SENDHURST SWEEP,GALLOWMILL BRIG,?,Male,01 January 0001
SPUDTAMSONS KENNEL MAID,GALLOWMILL BRIG,?,Female,01 January 0001
IR FT CH DERRINSTOWN TILLIE (IKC),IR FT CH  GARY OF CLONBARA (IKC),BLACK,Female,22 June 1994
FT CH BAILDONIAN BARON OF CRAIGHORN,IR FT CH  GARY OF CLONBARA (IKC),BLACK,Male,20 July 1994
FT CH IR FT CH HEATHERBANK ALEX OF TASCO,IR FT CH DERRINSTOWN TILLIE (IKC),YELLOW,Male,18 July 1989
FT CH HARETOR MARK OF DRAKESHEAD,FT CH IR FT CH HEATHERBANK ALEX OF TASCO,BLACK,Male,04 August 1983
MALWELL KESTREL,FT CH IR FT CH HEATHERBANK ALEX OF TASCO,BLACK,Female,03 July 1987
MALWELL CRYSTAL,MALWELL KESTREL,BLACK,Female,19 June 1985
FT CH HARETOR SHADOW OF DRAKESHEAD,MALWELL KESTREL,BLACK,Male,02 June 1985
FT CH PALGRAVE QUIN,MALWELL CRYSTAL,BLACK,Male,08 March 1982
DRAKESHEAD IVY OF MALWELL,MALWELL CRYSTAL,?,Female,27 May 1980
FT CH GLENCOIN DRUMMER OF DRAKESHEAD,DRAKESHEAD IVY OF MALWELL,YELLOW,Male,09 March 1978
DRAKESHEAD SCOUSE,DRAKESHEAD IVY OF MALWELL,BLACK,Female,22 October 1978
FT CH FLIGHTLINE STREAKER,DRAKESHEAD SCOUSE,BLACK,Male,13 April 1974
DRAKESHEAD ASH,DRAKESHEAD SCOUSE,?,Female,18 April 1977
FT CH HOLDGATE WILLIE,DRAKESHEAD ASH,BLACK,Male,06 June 1969
FT CH WESTEAD TAN OF DRAKESHEAD,DRAKESHEAD ASH,BLACK,Female,26 July 1974
HARETOR SMILER,FT CH HARETOR SHADOW OF DRAKESHEAD,?,Female,01 January 0001
FT CH HARETOR ABEL OF BELLEVER,FT CH HARETOR SHADOW OF DRAKESHEAD,BLACK,Male,01 July 1980
BAILDONIAN TINA,FT CH BAILDONIAN BARON OF CRAIGHORN,BLACK,Female,25 April 1991
GILLMHOR ARROW OF POCKLEA,FT CH BAILDONIAN BARON OF CRAIGHORN,YELLOW,Male,01 February 1992
FT CH POCKLEA REMUS,BAILDONIAN TINA,BLACK,Male,11 May 1986
BARNAVARA WATER BEETLE,BAILDONIAN TINA,BLACK,Female,15 February 1983
FT CH KENSWICK HAMISH,BARNAVARA WATER BEETLE,BLACK,Male,05 July 1976
FT CH BARNAVARA MINNOW,BARNAVARA WATER BEETLE,BLACK,Female,08 May 1979
FT CH SWIFT OF SWINBROOK,FT CH BARNAVARA MINNOW,BLACK,Male,08 April 1974
FT CH BARNAVARA MAYFLY,FT CH BARNAVARA MINNOW,YELLOW,Female,10 May 1971
SAPPERTON DAWN,FT CH BARNAVARA MAYFLY,?,Female,01 January 0001
STONNER POINT NATHANIEL,FT CH BARNAVARA MAYFLY,?,Male,01 January 0001
KNEVETON WHISPER,SAPPERTON DAWN,?,Female,01 January 0001
ROVEACRE TILT,SAPPERTON DAWN,?,Male,01 January 0001
FT CH PALGRAVE EDWARD,STONNER POINT NATHANIEL,?,Male,01 January 0001
BEDINGHAM HALL JET,STONNER POINT NATHANIEL,?,Female,01 January 0001
KILMORE DELLA (IKC),GILLMHOR ARROW OF POCKLEA,BLACK,Female,11 August 1986
SEANBAILE REGENT (IKC),GILLMHOR ARROW OF POCKLEA,BLACK,Male,12 November 1984
TULLAGHAN'S LITTLE WREN,KILMORE DELLA (IKC),BLACK,Female,20 March 1984
JASAMINE STAR,KILMORE DELLA (IKC),BLACK,Male,22 June 1981
FT CH KENSWICK HAMISH,TULLAGHAN'S LITTLE WREN,BLACK,Male,05 July 1976
OUR LYNN,TULLAGHAN'S LITTLE WREN,BLACK,Female,21 February 1982
CINNAMON MAGGIE,OUR LYNN,?,Female,04 April 1979
LEEANCHOR'S TERN,OUR LYNN,BLACK,Male,04 June 1979
FT CH SANDRINGHAM SYDNEY,CINNAMON MAGGIE,YELLOW,Male,14 May 1970
MEG OF SKEWEN,CINNAMON MAGGIE,?,Female,01 January 0001
FT CH SHOT OF PALGRAVE,LEEANCHOR'S TERN,BLACK,Male,26 May 1974
ANGELTOWNS BLACK TANITA,LEEANCHOR'S TERN,BLACK,Female,16 March 1974
FT CH SWINBROOK TAN,ANGELTOWNS BLACK TANITA,?,Male,01 January 0001
FT CH ANGELTOWN'S BLACK SAPHIRE,ANGELTOWNS BLACK TANITA,?,Female,01 January 0001
IR FT CH ANN OF CLEARY,JASAMINE STAR,?,Female,02 April 1979
FT CH EARSHAM PARK SABRE,JASAMINE STAR,BLACK,Male,29 May 1977
FT CH HEDENHAMPARK DASH OF PHILRAY,FT CH EARSHAM PARK SABRE,BLACK,Male,01 July 1973
FT CH EARSHAM PARK HOLLY,FT CH EARSHAM PARK SABRE,BLACK,Female,12 April 1971
GLENLOCH THISTLE,IR FT CH GLENLOCH RUFF,BLACK,Female,02 June 2000
FT CH WILLOWYCK RUFF,IR FT CH GLENLOCH RUFF,BLACK,Male,10 June 2000
IR FT CH GLENLOCH CRYSTAL,GLENLOCH THISTLE,BLACK,Female,09 May 1993
IR FT CH CARRAIGAIRT ADAM OF GLENLOCH (IKC),GLENLOCH THISTLE,BLACK,Male,25 September 1997
FT CH BIRDBROOK TEAK,IR FT CH GLENLOCH CRYSTAL,BLACK,Male,15 June 1988
GLENLOCH SAL,IR FT CH GLENLOCH CRYSTAL,BLACK,Female,24 August 1985
IR FT CH ANN OF CLEARY,GLENLOCH SAL,?,Female,02 April 1979
FT CH BLACKHARN JONTY,GLENLOCH SAL,BLACK,Male,12 May 1979
FT CH POCKLEA REMUS,IR FT CH CARRAIGAIRT ADAM OF GLENLOCH (IKC),BLACK,Male,11 May 1986
CLEEVEWAY NESTLE,FT CH WILLOWYCK RUFF,BLACK,Female,04 April 1997
FT CH WILLOWYCK HENMAN,FT CH WILLOWYCK RUFF,BLACK,Male,03 July 1996
FT CH TASCO DANCING BRAVE OF WILLOWYCK,CLEEVEWAY NESTLE,BLACK,Male,11 May 1986
SULLEYSHILL ADDER,CLEEVEWAY NESTLE,BLACK,Female,09 August 1991
FT CH HARETOR MARK OF DRAKESHEAD,SULLEYSHILL ADDER,BLACK,Male,04 August 1983
BIRDBROOK CRYSTAL OF SULLEYSHILL,SULLEYSHILL ADDER,BLACK,Female,06 August 1989
FT CH GREENWOOD TIMOTHY OF HOLDGATE,BIRDBROOK CRYSTAL OF SULLEYSHILL,?,Male,24 March 1979
FT CH PURDEY OF BONHOTE OF BIRDBROOK,BIRDBROOK CRYSTAL OF SULLEYSHILL,BLACK,Female,06 July 1983
FT CH POCKLEA REMUS,FT CH WILLOWYCK HENMAN,BLACK,Male,11 May 1986
DAGLEY'S GIRL,FT CH WILLOWYCK HENMAN,BLACK,Female,15 July 1993
FLASHMOUNT TARE,DAGLEY'S GIRL,BLACK,Female,19 April 1989
FT CH LETTERMORE TROUT,DAGLEY'S GIRL,BLACK,Male,25 May 1989
FT CH TIBEA TOSH,FLASHMOUNT TARE,BLACK,Male,20 March 1986
FT CH FLASHMOUNT LARCH,FLASHMOUNT TARE,YELLOW,Female,12 May 1987
FLASHMOUNT GYPSY,FT CH FLASHMOUNT LARCH,BLACK,Female,11 May 1981
FT CH MILLBUIES DUST LAD,FT CH FLASHMOUNT LARCH,YELLOW,Male,15 May 1982
FT CH DRAKESHEAD TINKER,FLASHMOUNT GYPSY,?,Male,01 January 0001
BLACK MOUNTAIN CHERRY,FLASHMOUNT GYPSY,?,Female,01 January 0001
BLUEBANE ABBEY,BLACK MOUNTAIN CHERRY,?,Female,01 January 0001
BERYN BREAVITY,BLACK MOUNTAIN CHERRY,?,Male,01 January 0001
BANE OF THORPE ACRE,BLUEBANE ABBEY,?,Female,01 January 0001
BERYN NOKEENER FOREMOST,BERYN BREAVITY,?,Male,01 January 0001
EARLSMILL DIANA,FT CH MILLBUIES DUST LAD,BLACK,Female,11 March 1979
FT CH KELVINHEAD MAGNUM,FT CH MILLBUIES DUST LAD,BLACK,Male,01 March 1976
MARL HUNTRESS OF BRAEMORAY,EARLSMILL DIANA,?,Female,01 January 0001
DARNAWAY SOUTHPAW,EARLSMILL DIANA,?,Male,03 April 1977
SLACKDALE MANDY,MARL HUNTRESS OF BRAEMORAY,?,Female,01 January 0001
LAWNWOODS PIRATE,MARL HUNTRESS OF BRAEMORAY,?,Male,01 January 0001
FT.CH BALDOVIE BARRISTER,SLACKDALE MANDY,?,Male,01 January 0001
MILLTIMBER JILL,FT.CH BALDOVIE BARRISTER,?,Female,01 January 0001
SPINNEYHILL LILAC OF LAWNWOOD,LAWNWOODS PIRATE,?,Female,01 January 0001
CH POWHATAN SOLO,LAWNWOODS PIRATE,?,Male,01 January 0001
POWHATAN TONIC,CH POWHATAN SOLO,YELLOW,Female,31 March 1967
POWHATAN PERCY,CH POWHATAN SOLO,YELLOW,Male,30 January 1967
CH BRAEDUKE JOYFUL,POWHATAN TONIC,YELLOW,Male,01 January 0001
CH CORNLANDS KIMVALLEY CROFTER,POWHATAN PERCY,?,Male,01 January 0001
CH SANDYLANDS TANDY,CH CORNLANDS KIMVALLEY CROFTER,?,Male,01 January 0001
COLDA JOY,DARNAWAY SOUTHPAW,?,Female,01 January 0001
CRACKERJACK BOUNCE,DARNAWAY SOUTHPAW,?,Male,01 January 0001
JUDY GAY LASS,COLDA JOY,?,Female,01 January 0001
HIWOOD JAY,COLDA JOY,?,Male,01 January 0001
WAINSGATE GAY LASS,JUDY GAY LASS,?,Female,01 January 0001
HILL BILLY JED,JUDY GAY LASS,?,Male,01 January 0001
HAYLES MONARCH,CRACKERJACK BOUNCE,?,Male,01 January 0001
QUICKSILVER KELVINHEAD,FT CH KELVINHEAD MAGNUM,BLACK,Female,16 February 1972
FT CH RUMBLETON CAPER,FT CH KELVINHEAD MAGNUM,YELLOW,Male,18 February 1973
FT CH MYCUR MAGNUS,QUICKSILVER KELVINHEAD,?,Male,01 January 0001
FT CH LUGWARDINE JADE,QUICKSILVER KELVINHEAD,?,Female,01 January 0001
FT CH SANDRINGHAM SYDNEY,FT CH RUMBLETON CAPER,YELLOW,Male,14 May 1970
CRAIGHORN DAWN,FT CH RUMBLETON CAPER,?,Female,01 January 0001
FT CH GLENFARG DANTE,CRAIGHORN DAWN,?,Male,01 January 0001
TRENTLOCK JET,CRAIGHORN DAWN,?,Female,01 January 0001
SARUMVALE AMBER,TRENTLOCK JET,?,Female,01 January 0001
FT CH MARGERYWING STAG,TRENTLOCK JET,?,Male,01 January 0001
LETTERMORE MAY,FT CH LETTERMORE TROUT,BLACK,Female,03 May 1982
FT CH CARNOCHWAY DANIEL,FT CH LETTERMORE TROUT,BLACK,Male,28 March 1985
FT CH EARSHAM PARK SABRE,LETTERMORE MAY,BLACK,Male,29 May 1977
FT CH QUAIL OF LETTERMORE,LETTERMORE MAY,BLACK,Female,01 July 1976
FT CH HOLDGATE WILLIE,FT CH QUAIL OF LETTERMORE,BLACK,Male,06 June 1969
BRAMBLE OF LETTERMORE,FT CH QUAIL OF LETTERMORE,BLACK,Female,16 February 1973
LISA OF LETTERMORE,BRAMBLE OF LETTERMORE,?,Female,01 January 0001
SALSRAVE BLACKIE,BRAMBLE OF LETTERMORE,?,Male,01 January 0001
FT CH LEACROSS RINKALS,FT CH CARNOCHWAY DANIEL,BLACK,Male,26 March 1976
KILLYLEAGH WANDA,FT CH CARNOCHWAY DANIEL,?,Female,26 May 1980
FT CH DERRYBOY DANIEL,KILLYLEAGH WANDA,BLACK,Male,26 June 1973
TAPPENZEE BRIEGE,KILLYLEAGH WANDA,?,Female,01 January 0001
FT CH TAPPANZEE PHAEDRA,TAPPENZEE BRIEGE,YELLOW,Female,16 August 1968
SH CH SH CH BRENTCHASE HICKORY,TAPPENZEE BRIEGE,?,Male,01 January 0001
STROKESTOWN BLANDY,FT CH TAPPANZEE PHAEDRA,?,Male,01 January 0001
STROKESTOWN DERRY,STROKESTOWN BLANDY,?,Male,01 January 0001
CH SANDYLANDS TANDY,SH CH SH CH BRENTCHASE HICKORY,?,Male,01 January 0001
BRENTCHASE GEISHA GIRL,SH CH SH CH BRENTCHASE HICKORY,YELLOW,Female,08 November 1966
SHIPBOURNE CHASER,SOLO GENERAL,BLACK,Female,28 March 2010
DRAKESHEAD VINCE,SOLO GENERAL,BLACK,Male,09 July 2010
BIRTHDAY GIRL MAY,SHIPBOURNE CHASER,BLACK,Female,10 May 2007
FT CH DRAKESHEAD INDIANA,SHIPBOURNE CHASER,BLACK,Male,25 April 2001
HORNINGSHAM CLEO,BIRTHDAY GIRL MAY,YELLOW,Female,10 May 2004
FT CH LEVENGHYL PEACOCK,BIRTHDAY GIRL MAY,BLACK,Male,24 June 2002
DELFLEET TILLY OF HORNINGSHAM,HORNINGSHAM CLEO,YELLOW,Female,11 January 2002
FT CH TASCO ROUBLE OF BEDGEBROOK,HORNINGSHAM CLEO,YELLOW,Male,11 June 1999
DELFLEET POLLEN,DELFLEET TILLY OF HORNINGSHAM,YELLOW,Female,11 April 2000
FLASHMOUNT FALL,DELFLEET TILLY OF HORNINGSHAM,YELLOW,Male,21 March 2000
STITCHWOOD RAPIER,DELFLEET POLLEN,YELLOW,Female,24 December 1995
FT CH DARGDAFFIN DYNAMO,DELFLEET POLLEN,YELLOW,Male,15 July 1994
LADY JANE OF NORFOLK,STITCHWOOD RAPIER,YELLOW,Female,16 May 1994
FT CH PARPHEA TIDE,STITCHWOOD RAPIER,YELLOW,Male,09 March 1991
BLAZING PEARL,LADY JANE OF NORFOLK,YELLOW,Female,25 June 1991
BIRDBROOK CLINT OF BIRCHAMS,LADY JANE OF NORFOLK,BLACK,Male,06 August 1989
TENDER WHISPER,BLAZING PEARL,YELLOW,Female,01 June 1989
DUSKY DUKE OF BALCLUTHA,BLAZING PEARL,YELLOW,Male,26 June 1987
REYMERSTONE BELLA,TENDER WHISPER,YELLOW,Female,15 March 1988
BIRCHAMS PLUTO,TENDER WHISPER,YELLOW,Male,24 April 1987
GEMMA OF GARVESTONE,REYMERSTONE BELLA,YELLOW,Female,14 May 1986
DERSINGHAM DUKE OF BIRCHAMS,REYMERSTONE BELLA,YELLOW,Male,06 March 1985
BUTTERBALL JENY,GEMMA OF GARVESTONE,YELLOW,Female,06 June 1982
SUBRIDGE LEO,GEMMA OF GARVESTONE,YELLOW,Male,28 January 1983
HALLOWEEN AMBER,BUTTERBALL JENY,YELLOW,Female,31 October 1979
WESKO SHOESTRING,BUTTERBALL JENY,?,Male,04 January 1980
STAJANTORS JOANNE,HALLOWEEN AMBER,?,Female,01 January 0001
CH MELFIN HALF GUINEA,HALLOWEEN AMBER,YELLOW,Male,29 June 1970
STAJANTORS DESIREE OF ORMEWOOD,STAJANTORS JOANNE,?,Female,01 January 0001
SH CH STAJANTORS HONEST JOHN,STAJANTORS JOANNE,YELLOW,Male,25 November 1975
STAJANTORS HARVEST BARON,STAJANTORS DESIREE OF ORMEWOOD,YELLOW,Male,28 September 1969
MILD CYDER,STAJANTORS HARVEST BARON,?,Male,01 January 0001
SANDYLANDS CHARLIE BOY,SH CH STAJANTORS HONEST JOHN,?,Male,01 January 0001
SH CH SANDYLANDS KATRINKA OF KEITHRAY,SANDYLANDS CHARLIE BOY,?,Female,01 January 0001
CLIVERUTH HARVESTER,SANDYLANDS CHARLIE BOY,?,Male,01 January 0001
CH SANDYLANDS TANDY,SH CH SANDYLANDS KATRINKA OF KEITHRAY,?,Male,01 January 0001
SH CH HOLLYBEAUT OF KEITHRAY,SH CH SANDYLANDS KATRINKA OF KEITHRAY,?,Female,01 January 0001
MELFIN SILVER SIXPENCE,CH MELFIN HALF GUINEA,?,Female,01 January 0001
WESKO GINA,WESKO SHOESTRING,?,Female,01 January 0001
STAJANTORS MAXIMUM,WESKO SHOESTRING,?,Male,01 January 0001
SH CH STAJANTORS HONEST JOHN,WESKO GINA,YELLOW,Male,25 November 1975
PASSINGRIDGE MIA OF WESKO,WESKO GINA,?,Female,01 January 0001
PASSINGRIDGE MEGAN,PASSINGRIDGE MIA OF WESKO,?,Female,01 January 0001
EDUNY SANDPIPER,PASSINGRIDGE MIA OF WESKO,?,Male,01 January 0001
PASSINGRIDGE BLACK CHIFFON,PASSINGRIDGE MEGAN,?,Female,01 January 0001
CH BALLYDUFF MARKETEER,PASSINGRIDGE MEGAN,BLACK,Male,28 October 1971
BRIDGET OF TUDDENHAM AND BALLYDUFF,PASSINGRIDGE BLACK CHIFFON,?,Female,01 January 0001
EDUNY SANDPIPER,PASSINGRIDGE BLACK CHIFFON,?,Male,01 January 0001
CH BALLYDUFF SEAMAN,BRIDGET OF TUDDENHAM AND BALLYDUFF,?,Male,01 January 0001
ELECTRON OF ARDMARGHA,BRIDGET OF TUDDENHAM AND BALLYDUFF,?,Female,01 January 0001
CH SANDYLANDS TANDY,ELECTRON OF ARDMARGHA,?,Male,01 January 0001
EDUNY STARLIGHT,EDUNY SANDPIPER,?,Female,01 January 0001
CH REBMA BYNE,EDUNY SANDPIPER,?,Male,01 January 0001
CH BALLYDUFF MARINA,CH BALLYDUFF MARKETEER,?,Female,01 January 0001
CH SANDYLANDS MARK,CH BALLYDUFF MARKETEER,BLACK,Male,05 July 1965
CH BALLYDUFF SEAMAN,CH BALLYDUFF MARINA,?,Male,01 January 0001
ELECTRON OF ARDMARGHA,CH BALLYDUFF MARINA,?,Female,01 January 0001
CH REANACRE MALLARDHURN THUNDER,CH SANDYLANDS MARK,?,Male,01 January 0001
CH SANDYLANDS TRUTH,CH SANDYLANDS MARK,?,Female,01 January 0001
SANDYLANDS SHADOW,CH SANDYLANDS TRUTH,?,Female,01 January 0001
STAJANTORS HARVEST BARON,STAJANTORS MAXIMUM,YELLOW,Male,28 September 1969
GRANGEBOURN PEPPERELLE,SUBRIDGE LEO,BLACK,Female,15 November 1978
TAN OF SUBRIDGE,SUBRIDGE LEO,YELLOW,Male,29 November 1980
FT CH SPUDTAMSONS BERRY OF MIRSTAN,GRANGEBOURN PEPPERELLE,?,Male,01 January 0001
BRON OF HAZELDENE,GRANGEBOURN PEPPERELLE,?,Female,01 January 0001
WOODSIDE WIND,BRON OF HAZELDENE,?,Female,01 January 0001
MAJESTIC SCOT,BRON OF HAZELDENE,?,Male,01 January 0001
ROVING MONA,WOODSIDE WIND,?,Female,01 January 0001
THE TEMPLE PARK OAK,WOODSIDE WIND,?,Male,01 January 0001
MERRY OF CHRISHALL,MAJESTIC SCOT,?,Female,01 January 0001
SHOT OF CHRISHALL,MAJESTIC SCOT,?,Male,01 January 0001
BEDINGHAM HALL TEAL,TAN OF SUBRIDGE,BLACK,Male,26 June 1978
PARSONAGE MANDY,TAN OF SUBRIDGE,?,Female,01 January 0001
HOME WOOD LADY,PARSONAGE MANDY,?,Female,01 January 0001
HOO HILLS RIDDLE,PARSONAGE MANDY,?,Male,01 January 0001
FT CH BLACKHARN JONTY,DERSINGHAM DUKE OF BIRCHAMS,BLACK,Male,12 May 1979
FRISBEES LASS,DERSINGHAM DUKE OF BIRCHAMS,BLACK,Female,06 June 1981
FT CH EARSHAM PARK SABRE,FRISBEES LASS,BLACK,Male,29 May 1977
HOODHILL TESS,FRISBEES LASS,?,Female,02 July 1977
FT CH SPUDTAMSONS BERRY OF MIRSTAN,HOODHILL TESS,?,Male,01 January 0001
HOODHILL MOFFAT,HOODHILL TESS,?,Female,01 January 0001
KIRI OF BIRCHAMS,BIRCHAMS PLUTO,BLACK,Female,05 August 1985
PLUTO OF ABBOTSLEIGH,BIRCHAMS PLUTO,BLACK,Male,08 July 1983
FT CH ABBOTSLEIGH JOSHUA,KIRI OF BIRCHAMS,BLACK,Male,23 February 1976
KETLEYS GYPSY,KIRI OF BIRCHAMS,YELLOW,Female,22 November 1981
FT CH SPUDTAMSONS BERRY OF MIRSTAN,KETLEYS GYPSY,?,Male,01 January 0001
KETLEYS CORNDOLLY,KETLEYS GYPSY,?,Female,11 December 1979
KETLEYS KATIE,KETLEYS CORNDOLLY,?,Female,01 January 0001
FT CH MIRSTAN SEA BREEZE,KETLEYS CORNDOLLY,YELLOW,Male,01 May 1977
MIRSTAN FLEET OF FLIGHTLINE,KETLEYS KATIE,BLACK,Male,26 August 1973
MIRSTAN SEA HAWK,MIRSTAN FLEET OF FLIGHTLINE,?,Male,01 January 0001
HOLDGATE SONNET,MIRSTAN FLEET OF FLIGHTLINE,?,Female,01 January 0001
TIBEA TEAL OF MIRSTAN,FT CH MIRSTAN SEA BREEZE,BLACK,Female,10 April 1975
MIRSTAN SEA HAWK,FT CH MIRSTAN SEA BREEZE,?,Male,01 January 0001
SAMINA SAMANTHA,PLUTO OF ABBOTSLEIGH,?,Female,01 January 0001
FT CH ABBOTSLEIGH NIMROD,PLUTO OF ABBOTSLEIGH,BLACK,Male,18 May 1979
MA BONNY WEE LASS,SAMINA SAMANTHA,?,Female,01 January 0001
OTHAMCOURT CLYDE,SAMINA SAMANTHA,?,Male,01 January 0001
LITTLE HEIDI OF BRAMBLESIDE,MA BONNY WEE LASS,?,Female,01 January 0001
SH CH MARBRA MINSTREL,MA BONNY WEE LASS,?,Male,01 January 0001
CRANSPIRE HONEY,LITTLE HEIDI OF BRAMBLESIDE,?,Female,01 January 0001
MARBRA KALMIA,SH CH MARBRA MINSTREL,?,Female,01 January 0001
POWHATAN CHIEF,SH CH MARBRA MINSTREL,?,Male,01 January 0001
CH SANDYLANDS TANDY,MARBRA KALMIA,?,Male,01 January 0001
MARBRA DUSKY DEB,MARBRA KALMIA,?,Female,01 January 0001
CH POWHATAN SOLO,POWHATAN CHIEF,?,Male,01 January 0001
CHELWORTH CLAUDIA,OTHAMCOURT CLYDE,?,Female,01 January 0001
OTHAMCOURT PEREGRINE,OTHAMCOURT CLYDE,BLACK,Male,30 January 1975
DEIGHTON AILSA,CHELWORTH CLAUDIA,?,Female,01 January 0001
GEORGE OF SANDHALL,CHELWORTH CLAUDIA,?,Male,01 January 0001
CH SANDYLANDS MARK,OTHAMCOURT PEREGRINE,BLACK,Male,05 July 1965
OTHAMCOURT KATRINE,OTHAMCOURT PEREGRINE,?,Female,01 January 0001
GRAINNE OF SUDDIE,OTHAMCOURT KATRINE,?,Female,01 January 0001
CH OTHAMCOURT SHANE OF SUDDIE,OTHAMCOURT KATRINE,YELLOW,Male,30 January 1969
SH CH SANDYLANDS GARRY,GRAINNE OF SUDDIE,?,Male,01 January 0001
SANDYLANDS GENERAL,SH CH SANDYLANDS GARRY,?,Male,01 January 0001
MINIVET OF SUDDIE,CH OTHAMCOURT SHANE OF SUDDIE,?,Female,01 January 0001
AM CH KIMVALLEY KENBARA MR SOFTEE,CH OTHAMCOURT SHANE OF SUDDIE,YELLOW,Male,18 November 1966
CH SANDYLANDS MARK,MINIVET OF SUDDIE,BLACK,Male,05 July 1965
TESSA OF SUDDIE,MINIVET OF SUDDIE,?,Female,01 January 0001
KENBARA JILL,AM CH KIMVALLEY KENBARA MR SOFTEE,?,Female,01 January 0001
KIMVALLEY CRISPIN,AM CH KIMVALLEY KENBARA MR SOFTEE,?,Male,01 January 0001
SUSAN OF BRACKENBANK,FT CH ABBOTSLEIGH NIMROD,?,Female,01 January 0001
FT CH ABBOTSLEIGH KOSSACK,FT CH ABBOTSLEIGH NIMROD,BLACK,Male,09 July 1976
FT CH SPUDTAMSONS BERRY OF MIRSTAN,FT CH ABBOTSLEIGH KOSSACK,?,Male,01 January 0001
MANYMILLS WISTFUL,FT CH ABBOTSLEIGH KOSSACK,BLACK,Female,04 May 1973
FT CH HOLDGATE WILLIE,MANYMILLS WISTFUL,BLACK,Male,06 June 1969
UDEX CDEX MANYMILLS FLUTE,MANYMILLS WISTFUL,?,Female,01 January 0001
CH POWHATAN SOLO,UDEX CDEX MANYMILLS FLUTE,?,Male,01 January 0001
MANYMILLS GIPSY MOTH,UDEX CDEX MANYMILLS FLUTE,?,Female,01 January 0001
GEMMA OF GARVESTONE,DUSKY DUKE OF BALCLUTHA,YELLOW,Female,14 May 1986
BLYTH'S BRUCE,DUSKY DUKE OF BALCLUTHA,YELLOW,Male,10 June 1985
STRADBROKE LADY,BLYTH'S BRUCE,YELLOW,Female,31 December 1979
BREEZEDRAKE BEN,BLYTH'S BRUCE,BLACK,Male,12 March 1984
STAR CRACKER,STRADBROKE LADY,?,Female,01 January 0001
RUSSET ROMEO,STRADBROKE LADY,?,Male,01 January 0001
GOLDIE STAR,STAR CRACKER,?,Female,01 January 0001
FRESSINGFIELD FRED,STAR CRACKER,?,Male,01 January 0001
SHANE OF GROSVENOR,FRESSINGFIELD FRED,?,Female,01 January 0001
DOBRUDDEN MIDAS,FRESSINGFIELD FRED,?,Male,01 January 0001
SUZIE OF YEW TREE,RUSSET ROMEO,?,Female,01 January 0001
FT CH BREEZE OF DRAKESHEAD,BREEZEDRAKE BEN,BLACK,Male,28 December 1981
DRAKESHEAD PEPPER,BREEZEDRAKE BEN,BLACK,Female,15 February 1982
FT CH GLENCOIN DRUMMER OF DRAKESHEAD,DRAKESHEAD PEPPER,YELLOW,Male,09 March 1978
FT CH DRAKESHEAD ANNA,DRAKESHEAD PEPPER,BLACK,Female,18 April 1977
FT CH GREENWOOD TIMOTHY OF HOLDGATE,BIRDBROOK CLINT OF BIRCHAMS,?,Male,24 March 1979
FT CH PURDEY OF BONHOTE OF BIRDBROOK,BIRDBROOK CLINT OF BIRCHAMS,BLACK,Female,06 July 1983
DEE OF THE COTTAGE AT PARPHEA,FT CH PARPHEA TIDE,BLACK,Female,23 April 1989
